query	no	token	pos
전주 여행	1	가	VV
전주 여행	1	볼	EC+VX+ETM
전주 여행	1	만	NNB
전주 여행	1	한	XSA+ETM
전주 여행	1	곳	NNG
전주 여행	1	추천	NNG
전주 여행	1	받	VV
전주 여행	1	아요	EF
전주 여행	1	추억	NNG
전주 여행	1	의	JKG
전주 여행	1	7080	SN
전주 여행	1	다양	NNG
전주 여행	1	한	XSA+ETM
전주 여행	1	체험	NNG
전주 여행	1	7080	SN
전주 여행	1	감성	NNG
전주 여행	1	추억	NNG
전주 여행	1	테마	NNG
전주 여행	1	박물관	NNG
전주 여행	1	유익	NNG
전주 여행	1	한	XSA+ETM
전주 여행	1	시간	NNG
전주 여행	1	2	SN
전주 여행	1	전북	NNP
전주 여행	1	전북	NNP
전주 여행	1	투어	NNG
전주 여행	1	패스	NNG
전주 여행	1	통합	NNG
전주 여행	1	이	JKS
전주 여행	1	용권	NNG
전주 여행	1	전북	NNP
전주 여행	1	핫	NNG
전주 여행	1	플	NNG
전주 여행	1	여러	MM
전주 여행	1	여행지	NNG
전주 여행	1	다양	NNG
전주 여행	1	한	XSA+ETM
전주 여행	1	체험	NNG
전주 여행	1	카페이	NNP
전주 여행	1	용추	NNG
전주 여행	1	가	JKS
전주 여행	1	필수	NNG
전주 여행	1	편안	NNG
전주 여행	1	하	XSA
전주 여행	1	고	EC
전주 여행	1	즐거운	VA+ETM
전주 여행	1	날	NNG
전주 여행	1	이	JKS
전주 여행	1	되	VV
전주 여행	1	시	EP
전주 여행	1	길	ETN+JKO
전주 여행	1	바라	VV
전주 여행	1	겠	EP
전주 여행	1	습니다	EF
전주 여행	1	감사	NNG
전주 여행	1	합니다	XSV+EC
전주 여행	2	갈려고	VV+EC
전주 여행	2	하	VX
전주 여행	2	는데요	EF
전주 여행	2	!	SF
전주 여행	2	을	JKO
전주 여행	2	갈려고	VV+EC
전주 여행	2	하	VV
전주 여행	2	는데요	EC
전주 여행	2	아	VV
전주 여행	2	는	ETM
전주 여행	2	사람	NNG
전주 여행	2	과	JKB
전주 여행	2	갈려고	VV+EC
전주 여행	2	하	VV
전주 여행	2	는데	EC
전주 여행	2	호텔	NNG
전주 여행	2	은	JX
전주 여행	2	좋	VA
전주 여행	2	은	ETM
전주 여행	2	가격	NNG
전주 여행	2	에	JKB
전주 여행	2	정했	VV+EP
전주 여행	2	고	EC
전주 여행	2	음	IC
전주 여행	2	2	SN
전주 여행	2	박	NNBC
전주 여행	2	3	SN
전주 여행	2	일	NNBC
전주 여행	2	인데	VCP+EC
전주 여행	2	얼마	NNG
전주 여행	2	정도	NNG
전주 여행	2	갖	VV
전주 여행	2	고	EC
전주 여행	2	가	VX
전주 여행	2	면	EC
전주 여행	2	좋	VA
전주 여행	2	을까요	EF
전주 여행	2	그리고	MAJ
전주 여행	2	맛집	NNG
전주 여행	2	같	VA
전주 여행	2	은	ETM
전주 여행	2	거	NNB
전주 여행	2	카페	NNG
전주 여행	2	같	VA
전주 여행	2	은	ETM
전주 여행	2	거	NNB
전주 여행	2	추천	NNG
전주 여행	2	해	XSV+EC
전주 여행	2	주	VX
전주 여행	2	세요	EP+EF
전주 여행	2	안녕	IC
전주 여행	2	하	VV
전주 여행	2	세요	EP+EF
전주 여행	2	계획	NNG
전주 여행	2	중	NNB
전주 여행	2	이	VCP
전주 여행	2	시	EP
전주 여행	2	네요	EF
전주 여행	2	한옥	NNG
전주 여행	2	마을	NNG
전주 여행	2	근처	NNG
전주 여행	3	1	SN
전주 여행	3	박	NNBC
전주 여행	3	2	SN
전주 여행	3	일	NNBC
전주 여행	3	관련	NNG
전주 여행	3	질문	NNG
전주 여행	3	~	SY
전주 여행	3	을	JKO
전주 여행	3	계획	NNG
전주 여행	3	하	XSV
전주 여행	3	고	EC
전주 여행	3	계시	VX
전주 여행	3	다니	EC
전주 여행	3	정말	MAG
전주 여행	3	좋	VA
전주 여행	3	은	ETM
전주 여행	3	선택	NNG
